GWIAZDA	jd	mag	idobs	kom
BETA LYR	2453194.3375	3.3	ZSI	
BETA LYR	2453195.3438	3.5	ZSI	
R SCT	2453225.4340	7.1	ZSI	
AF CYG	2453225.4375	7.8	ZSI	
CHI CYG	2453225.4403	8	ZSI	
R SCT	2453247.2917	5.9	ZSI	M
R LYR	2453247.2951	4.3	ZSI	
CHI CYG	2453247.3028	9	ZSI	:M
DELTA CEP	2453247.3132	3.8	ZSI	M
W CYG	2453247.3132	6.3	ZSI	M
AC HER	2453247.3215	7.3	ZSI	M
X HER	2453247.3285	6.6	ZSI	M
AF CYG	2453247.3319	7.3	ZSI	M
R SCT	2453250.2917	5.7	ZSI	
DELTA CEP	2453250.2993	4.2	ZSI	
T CEP	2453250.3069	6.7	ZSI	
RZ CAS	2453250.3083	6.3	ZSI	
SU CAS	2453250.3097	6	ZSI	
DELTA CEP	2453251.3000	4	ZSI	
MIU CEP	2453251.3021	4	ZSI	
X CYG	2453251.3056	6.3	ZSI	
V568 CYG	2453251.3063	6.5	ZSI	
SU CAS	2453251.3069	6.3	ZSI	
RZ CAS	2453251.3076	6.3	ZSI	
BETA PER	2453251.3299	2.9	ZSI	:M
AC HER	2453252.2951	7.3	ZSI	
R LYR	2453252.2979	4.6	ZSI	
DELTA CEP	2453252.2993	4	ZSI	
SU CAS	2453252.3014	6.1	ZSI	
RZ CAS	2453252.3021	6.4	ZSI	
CH CYG	2453252.3069	7.8	ZSI	
AF CYG	2453252.3090	7.4	ZSI	
X CYG	2453252.3132	6.1	ZSI	
R SCT	2453254.3021	5.4	ZSI	
X HER	2453254.3049	6.5	ZSI	
RR CRB	2453254.3111	8	ZSI	
EU DEL	2453255.2889	6	ZSI	
DELTA CEP	2453255.2917	4	ZSI	
U DEL	2453255.2924	6.9	ZSI	
S DEL	2453255.2944	8.6	ZSI	
KP DEL	2453255.2951	8.5	ZSI	
X CYG	2453255.3007	6.3	ZSI	
V568 CYG	2453255.3014	6.4	ZSI	
T VUL	2453255.3056	5.4	ZSI	
S EQU	2453255.3083	8	ZSI	
RZ CAS	2453255.3097	6.3	ZSI	
SU CAS	2453255.3104	6.2	ZSI	
TU CAS	2453255.3174	7.8	ZSI	
BETA LYR	2453255.3194	3.6	ZSI	
VV CEP	2453255.3299	5.3	ZSI	
W CYG	2453255.3333	6.3	ZSI	
V1339 CYG	2453255.3374	6.5	ZSI	
P CYG	2453255.3403	4.9	ZSI	
RS CYG	2453255.3417	7.5	ZSI	
DELTA CEP	2453256.2931	4.2	ZSI	
SU CAS	2453256.2938	6.1	ZSI	
RZ CAS	2453256.2944	6.3	ZSI	
CH CYG	2453256.3000	7.9	ZSI	
AC HER	2453256.3035	7.5	ZSI	
RZ CAS	2453258.3000	6.4	ZSI	
SU CAS	2453258.3007	5.9	ZSI	
R LYR	2453258.3049	4.5	ZSI	
T CEP	2453258.3083	6.2	ZSI	
DELTA CEP	2453258.3097	3.6	ZSI	
VV CEP	2453258.3104	5.4	ZSI	
S EQU	2453258.3132	8	ZSI	
AF CYG	2453258.3174	7.2	ZSI	
X CYG	2453258.3208	6.6	ZSI	
T VUL	2453258.3271	6.1	ZSI	
RZ CAS	2453258.3278	6.7	ZSI	
R SCT	2453259.2903	5	ZSI	
RR CRB	2453259.2938	7.9	ZSI	
TV CAS	2453259.3000	7.5	ZSI	
DELTA CEP	2453259.3035	3.7	ZSI	
EU DEL	2453259.3069	6	ZSI	
RZ CAS	2453259.3083	6.3	ZSI	
SU CAS	2453259.3090	6.3	ZSI	
AI DRA	2453259.3167	7.1	ZSI	
TV CAS	2453259.3181	7.7	ZSI	
TU CAS	2453259.3250	8.1	ZSI	
X CYG	2453259.3285	7	ZSI	
V568 CYG	2453259.3292	6.7	ZSI	
V367 CYG	2453259.3313	7.2	ZSI	
TV CAS	2453259.3319	7.7	ZSI	
S EQU	2453259.3333	8	ZSI	
T VUL	2453259.3354	5.2	ZSI	
Z VUL	2453259.3375	7.4	ZSI	
EG AND	2453259.3417	7.6	ZSI	
TV CAS	2453259.3458	7.7	ZSI	
ETA AQL	2453259.3653	4	ZSI	
TV CAS	2453259.3674	7.9	ZSI	
BETA LYR	2453259.3694	3.7	ZSI	
BETA PER	2453259.3722	2.3	ZSI	
AC HER	2453260.2917	7.4	ZSI	
X HER	2453260.2931	6.8	ZSI	
T VUL	2453260.2993	5.2	ZSI	
DELTA CEP	2453260.3007	4.2	ZSI	
VV CEP	2453260.3014	5.4	ZSI	
RZ CAS	2453260.3028	6.3	ZSI	
SU CAS	2453260.3035	6.1	ZSI	
S EQU	2453260.3042	8	ZSI	
TV CAS	2453260.3056	7.4	ZSI	
BETA LYR	2453260.3069	4.1	ZSI	
X CYG	2453260.3090	7.1	ZSI	
AI DRA	2453260.3118	7.1	ZSI	
TU CAS	2453260.3146	8.3	ZSI	
Z VUL	2453260.3208	7.2	ZSI	
ETA AQL	2453260.3257	3.9	ZSI	
BETA PER	2453260.3271	2.2	ZSI	
Z VUL	2453263.2729	7.5	ZSI	
AI DRA	2453263.2785	7.1	ZSI	
W CYG	2453263.2806	6.1	ZSI	
V1339 CYG	2453263.2819	6.6	ZSI	
SS CYG	2453263.2847	8.6	ZSI	
X CYG	2453263.2861	7.3	ZSI	
V568 CYG	2453263.2868	6.8	ZSI	
V367 CYG	2453263.2889	7.4	ZSI	
S DEL	2453263.2903	8.8	ZSI	
U DEL	2453263.2910	6.9	ZSI	
Z VUL	2453263.2917	7.5	ZSI	
EU DEL	2453263.2938	6.1	ZSI	
